관광숙박업 등록현황 (20.12.31기준),,,,,,,,,,,,,,
번호,"지역1
(시도)","지역2
(시군구)",업종,호텔명(등록명칭),"관광사업자명
(법인명 or 개인명)","영업상태
(19.12.31기준)",현행 호텔등급,,시설개요,,,객실수,주소(도로명주소),부대시설
,,,,,,,등급,등급부여일,층수(지하~지상),"대지면적
(㎡)","건축연면적
(㎡)",,,
110,강원,홍천군,콘도미니엄,소노벨 타워 A 비발디파크,㈜소노호텔앤리조트,영업중,,,지하1층~지상10층 ,"20,673 ","26,606 ",279 ,강원도 홍천군 서면 한치골길 262,
111,강원,홍천군,콘도미니엄,소노펠리체 빌리지 A~D 비발디파크,㈜소노호텔앤리조트,영업중,,,지하1층~지상3층 ,"25,259 ","7,602 ",44 ,강원도 홍천군 서면 한치골길 262,매점 등
112,강원,홍천군,콘도미니엄,소노펠리체 빌리지 E~H 비발디파크,㈜소노호텔앤리조트,영업중,,,지하2층~지상3층 ,"15,300 ","9,836 ",56 ,강원도 홍천군 서면 한치골길 262,"일반음식점, 매점 등"
113,강원,홍천군,콘도미니엄,소노펠리체 빌리지 I~O 비발디파크,㈜소노호텔앤리조트,영업중,,,지하1층~지상5층 ,"37,346 ","20,616 ",122 ,강원도 홍천군 서면 한치골길 262,매점 등
114,강원,횡성군,콘도미니엄,주식회사 코레스코(치악산콘도미니엄),㈜코레스코,영업중,,,지하~지상11층,"10,259 ","17,222 ",167 ,강원도 횡성군 우천면 전재로 254,세미나&연회장
115,강원,횡성군,콘도미니엄,신안종합리조트 타워형콘도미니엄,신안종합리조트㈜,영업중,,,지하1층~지상16층,"19,428 ","79,947 ",767 ,강원도 횡성군 둔내면 고원로 451,"골프장, 스키장, 사우나, 수영장, 음식점, 노래방, 당구장, 볼링장 등"
116,강원,횡성군,콘도미니엄,알프스대영 골프빌리지,삼대양레저㈜,영업중,,,지상3층,"20,100 ","9,068 ",47 ,강원도 횡성군 우천면 한우로 1295,"휘트니스센터, 노래방, 세미나실, 편의점 등"
117,강원,횡성군,콘도미니엄,횡성 서초휴양소,서초구청,영업중,,,지하1층~지상4층,"9,257 ","4,188 ",32 ,강원도 횡성군 안흥면 서동로상한6길 31,"당구장, 탁구장, 소회의실, 대강당, 노래방 등"
118,강원,횡성군,콘도미니엄,웰리힐리CC 페어웨이빌라 히든힐스,신안종합리조트㈜,영업중,,,지하1층~지상2층,"103,181 ","17,404 ",84 ,강원도 횡성군 둔내면 조항로 316,찜질방 등
119,강원,영월군,콘도미니엄,에스엠 동강시스타,최승석,영업중,,,지하1층~6층 ,"57,657 ","36,099 ",300 ,강원도 영월군 영월읍 사지막길 160,"음식점, 카페, 연회장 등"
120,강원,영월군,콘도미니엄,재단법인 산림힐링재단 ,고광필,휴업,,,지하1층~지상6층 ,"9,214 ","7,228 ",52 ,강원도 영월군 상동읍 섬지골길 113,
121,강원,평창군,콘도미니엄,용평1차콘도미니엄(용평콘도),㈜용평리조트,영업중,,,"지하1층, 지상4층","40,141 ","11,241 ",205 ,강원도 평창군 대관령면 용산리 20,
122,강원,평창군,콘도미니엄,용평2차콘도미니엄(타워콘도+빌라콘도),㈜용평리조트,영업중,,,지상5층,"86,528 ","86,529 ",621 ,강원도 평창군 대관령면 용산리 121,타워프라자
123,강원,평창군,콘도미니엄,용평3차콘도미니엄(버치힐),㈜용평리조트,영업중,,,지상5층,"220,944 ","77,715 ",450 ,강원도 평창군 대관령면 용산리 12-1,"관리동, 경비실, 버스대기실, 가스저장소, 펌프실, 슈퍼마켓, 식당, 라운지 등"
124,강원,평창군,콘도미니엄,용평4차콘도미니엄(타워형)(그린피아콘도),㈜용평리조트,영업중,,,"지하6층, 지상13층","31,691 ","59,704 ",338 ,강원도 평창군 대관령면 용산리 130,"편의점,식당"
125,강원,평창군,콘도미니엄,용평4차콘도미니엄(빌라형)(베르데힐콘도),㈜용평리조트,영업중,,,"지하1층, 지상8층","35,300 ","38,184 ",224 ,강원도 평창군 대관령면 용산리 526-1,"편의점,헬스장"
126,강원,평창군,콘도미니엄,용평5차콘도미니엄(단독형)(포레스트 1차),㈜용평리조트,영업중,,,지상2층,"122,090 ","25,251 ",61 ,강원도 평창군 대관령면 용산리 139-1,"관리동, 가스저장고, 고가수조, 전기실 "
127,강원,평창군,콘도미니엄,용평5차콘도미니엄(연립형)(포레스트 2차),㈜용평리조트,영업중,,,"지하1층, 지상2층","20,546 ","33,117 ",106 ,강원도 평창군 대관령면 용산리 139-3,창고
128,강원,평창군,콘도미니엄,용평버치힐테라스레지던트콘도,㈜용평리조트,영업중,,,"지하1층, 지상4층","44,702 ","24,947 ",70 ,강원도 평창군 대관령면 수하리 142-37,기사대기실
129,강원,평창군,콘도미니엄,홀리데이인스위트,강원도개발공사,영업중,,,지상4층,"20,139 ","12,188 ",343 ,강원도 평창군 대관령면 솔봉로 325,"스키강습소, 휴게실, 헬스클럽, 코인세탁소"
130,강원,평창군,콘도미니엄,알펜시아리조트빌리지콘도(타운),강원도개발공사,영업중,,,"지하1층, 지상7층","50,586 ","66,981 ",76 ,강원도 평창군 대관령면 솔봉로 325,"편의점, 면세점, 음식점 등"
131,강원,평창군,콘도미니엄,알펜시아에스테이트,강원도개발공사,영업중,,,지상 1~2층,"355,129 ","96,719 ",123 ,강원도평창군 대관령면 솔봉로 325,"식음,판매시설,27홀골프장"
132,강원,평창군,콘도미니엄,휘닉스파크 1차콘도미니엄,휘닉스중앙㈜,영업중,,,"블루동: 지하1층, 지상28층
그린, 오렌지동: 지하1층, 지상12층
유로빌라: 지하1층, 지상5층","38,583 ","91,619 ",756 ,강원도 평창군 봉평면 면온리 1095,"음식점, 대중탕, 유아실, 스넥코너, 스키락카, 당구장 등 "
133,강원,평창군,콘도미니엄,노블스윙,휘닉스중앙㈜,영업중,,,"지하1층, 지상4층","44,365 ","11,981 ",51 ,강원도 평창군 봉평면 면온리 959,"회의실, 수영장, 발전기실"
134,강원,평창군,콘도미니엄,아이원리조트콘도미니엄,㈜화인종합건설,영업중,,,"지하2층, 지상10층","25,632 ","32,999 ",200 ,강원도 평창군 대관령면 솔봉로 471,"식당, 사우나, 슈퍼, 빨래방 등"
135,강원,평창군,콘도미니엄,한화호텔앤리조트㈜평창한화,한화호텔앤드리조트 주식회사,영업중,,,"지하2층, 지상20층","36,733 ","73,714 ",440 ,강원도 평창군 봉평면 태기로 228-33,"슈퍼마켓, 당구장, 노래방 식당, 세미나실, 연회장 등"
136,강원,정선군,콘도미니엄,하이원콘도미니엄,강원랜드,영업중,,,12층(지하3층~지상9층),,"46,998 ",903 , 강원도 정선군 고한읍 하이원길 265-1,"야외스파, 노래방, 오락실, 유아놀이방, 애견실내놀이터, 물품보관소, 셀프빨래방, 편의점"
137,강원,정선군,콘도미니엄,정선리조트(MAYHILLS),(주)대림산업,영업중,,,14층(지하2층~지상12층),,"71,792 ",595 , 강원도 정선군 고한읍 물한리길 8,"커피숍, 오락실, 당구장, 사우나&찜질방, 편의점"
138,강원,정선군,콘도미니엄,하이캐슬리조트,정선랜드,영업중,,,13층(지하3층~지상10층),,"41,153 ",339 , 강원도 정선군 사북읍 하이원길 202,"커피숍, 레스토랑, 노래방, 사우나&찜질방, 편의점"
139,강원,정선군,콘도미니엄,파크로쉬 리조트앤웰니스,㈜에이치디씨현대산업개발,영업중,,,14층(지하2층~지상12층),,"31,214 ",204 ,강원도 정선군 북평면 중봉길 9-12,"식당,카페,연회장,목욕탕,체력단련실"
140,강원,인제군,콘도미니엄,인제스피디움콘도,"윤재연, 김츈수",영업중,,,지하1층~지상8층 ,"13,458 ","2,557 ",118 ,강원도 인제군 기린면 상하답로 130,
141,강원,고성군,콘도미니엄,소노문 델피노,㈜소노호텔앤리조트,영업중,,,지하1~지상13,"63,379 ","65,224 ",683 ,강원도 고성군 토성면 미시령옛길 1153,"대식당, 미용실,당구장, 수영장,연회장, 음식점, 카페, 베이커리 연회장, 음식점,사우나, 카트고 등"
142,강원,고성군,콘도미니엄,소노캄리조트 델피노,㈜소노호텔앤리조트,영업중,,,지하4~지상8,"27,760 ","43,519 ",240 ,강원도 고성군 토성면 미시령옛길 1153,
143,강원,고성군,콘도미니엄,소노펠리체 빌리지 델피노,㈜소노호텔앤리조트,영업중,,,지하1~지상3,"27,760 ","9,830 ",58 ,강원도 고성군 토성면 미시령옛길 1153,
144,강원,고성군,콘도미니엄,파인리즈리조트,㈜진흥레저파인리즈,영업중,,,지하1~지상3,"51,401 ","25,740 ",168 ,강원도 고성군 토성면 잼버리동로 267," 사우나, 매점, 골프장, 음식점 등"
145,강원,고성군,콘도미니엄,㈜미봉,㈜미봉,영업중,,,지하3~지상10,"6,656 ","26,894 ",225 ,강원도 고성군 현내면 금강산로 416,"식당, 편의점, 회의실, 연회장, 오락실 등"
146,강원,고성군,콘도미니엄,설악썬밸리리조트,㈜동광개발,영업중,,,지하2~지상5,"94,835 ","31,607 ",198 ,강원도 고성군 죽왕면 순포로 188,"상점, 식당, 사우나 등"
147,강원,고성군,콘도미니엄,아이파크콘도,현대개발산업㈜,영업중,,,지하2~지상20,"37,653 ","35,628 ",330 ,강원도 고성군 토성면 고성대로 75-16,"세미나실, 음식점, 노래방, 슈퍼마켓, 커피숍 등"
148,강원,고성군,콘도미니엄,일성레저산업 설악지점,일성레저산업㈜,영업중,,,지하1~지상8,"110,173 ","45,950 ",341 ,강원도 고성군 토성면 고성대로 47-24,"세미나실, 목욕탕, 식당, 노래방, 슈퍼마켓 등"
149,강원,고성군,콘도미니엄,포유리조트,㈜포유레저,영업중,,,지하1~지상13,"24,654 ","14,914 ",147 ,강원도 고성군 토성면 잼버리동로 97,"식당, 매점등"
150,강원,고성군,콘도미니엄,오션투유,㈜코레스코,영업중,,,지하2~지상7,"12,517 ","21,173 ",251 ,강원도 고성군 죽왕면 삼포해변길 9,"음식점, 슈퍼, 연회장 등"
151,강원,고성군,콘도미니엄,켄싱턴리조트 설악비치,㈜이랜드파크,영업중,,,지하1~지상5,"67,944 ","20,424 ",182 ,강원도 고성군 토성면 동해대로 4800,"슈퍼, 연회장, 목욕탕, 식당, 커피숍 등"
152,강원,고성군,콘도미니엄,제1설악밸리 켄싱턴리조트,㈜이랜드파크,영업중,,,지상2,"75,343 ","16,927 ",213 ,강원도 고성군 토성면 신평골길 8-25   ,"한식당, 커피숍,슈퍼마켓등"
153,강원,고성군,콘도미니엄,㈜이랜드파크 켄싱턴리조트 설악밸리,㈜이랜드파크,영업중,,,지상2,"57,612 ","9,078 ",91 ,강원도 고성군 토성면 신평골길 8-25   ,"카페,레스토랑,편의점 등"
154,강원,고성군,콘도미니엄,알프스리조트,㈜알프스리조트,휴업,,,지하1~지상10,"61,837 ","5,139,367 ",500 ,강원도 고성군 간성읍 흘리령길 52   ,"디스코장, 수영장, 목욕탕, 매점 등"
155,강원,양양군,콘도미니엄,쏠비치 리조트 양양,㈜소노호텔앤리조트,영업중,,,지하2층~지상5층 ,"36,262 ","29,177 ",219 ,양양군 손양면 선사유적로 678,"매점, 식당"
156,강원,양양군,콘도미니엄,골든비치리조트,㈜새서울레저,영업중,,,지하1층~지상5층 ,"10,805 ","7,735 ",50 ,양양군 손양면 공항로 230,"매점, 식당"
157,울산,중구,관광호텔,호텔다움,이충희,영업중,2성,2019-11-26,지하2~지상13층 ,482 ,"4,272 ",68 ,울산 중구 번영로 538(반구동),"소연회장, 대연회장, 카페, 음식점"
158,울산,남구,관광호텔,롯데호텔 울산,㈜호텔롯데,영업중,5성,2019-04-15,"지하5층, 지상24층 ","9,795 ","51,867 ",200,울산광역시 남구 삼산로 282,"사우나, 수영장, 헬스장, 비즈니스센터 등"
159,울산,남구,관광호텔,울산시티호텔,주식회사 도현,영업중,2성,2018-05-30,"지하2층, 지상11층 ",966 ,"6,309 ",90,울산광역시 남구 삼산로 246,"레스토랑, 카페, 회의실 등"
160,울산,남구,관광호텔,해야관광호텔,이수부,영업중,1성,2018-09-19,"지하2층, 지상10층 ",755 ,"4,903 ",57,울산광역시 남구 삼산로395번길 11,"식당, 비즈니스룸 등"
161,울산,남구,관광호텔,㈜호텔롯데 롯데시티호텔,㈜호텔롯데,영업중,3성,2019-04-10,"지하4층, 지상17층 ","1,865 ","20,459 ",350,울산광역시 남구 삼산로 204,"헬스장, 비즈니스센터, 회의실, 레스토랑 등"
162,울산,남구,관광호텔,신라스테이 울산,신라스테이㈜,영업중,3성,2019-03-18,"지하4층, 지상20층 ","1,305 ","18,033 ",335,울산광역시 남구 삼산로 200,"레스토랑, 미팅룸, 피트니스 센터 등"
163,울산,남구,관광호텔,판도라 호텔,대송테크㈜,영업중,2성,2020-05-22,"지하1층, 지상9층 ","1,370 ","765,666 ",70,울산광역시 남구 삼산로392번길 8,"식당, 회의실 등"
164,울산,남구,관광호텔,H호텔,박정이,영업중,기간만료,-,지상6층 ,510 ,"1,961 ",44,울산광역시 남구 화합로178번길 7,"식당, 회의실 등"
165,울산,남구,관광호텔,스타즈호텔울산,스타즈호텔 울산,영업중,3성,2018-08-29,"지하3층, 지상20층 ","1,117 ","15,954 ",345,울산광역시 남구 남중로 65,"레스토랑, 피트니스 센터, 세미나룸"
166,울산,남구,관광호텔,여우비 관광호텔,김미숙 외 1,영업중,2성,2018-08-16,"지하3층, 지상13층 ",915 ,"7,860 ",105,울산광역시 남구 산업로647번길 14,"레스토랑, 세미나실 등"
167,울산,남구,관광호텔,브라운도트,㈜꿈꾸는아저씨,영업중,1성,2019-10-14,지상10층 ,508 ,"2,892 ",50,울산광역시 남구 삼산로383번길 6-17,"식당, 회의실 등"
168,울산,남구,관광호텔,토요코인 울산삼산동,㈜승현,영업중,2성,2020-03-20,"지하2층, 지상20층 ",693 ,"7,088 ",283,울산광역시 남구 삼산로 308,"식당, 로비라운지 등"
169,울산,남구,관광호텔,에쉬튼(ASHTON) 호텔,㈜미래로,영업중,등급없음,-,"지하1층, 지상15층 ",347 ,"3,278 ",57,울산광역시 남구 중앙로213번길 8,"카페, 다목적홀, 레스토랑, 루프탑(수영장)"
170,울산,동구,관광호텔,주식회사 라한호텔(울산),주식회사 라한호텔,영업중,4성급,2019-07-02,지하1층~지상11층 ,"11,253 ","20,198 ",272 ,울산 동구 방어진순환도로 875,"음식점, 카페, 수영장, 헬스장, 기념품점 등"
171,울산,동구,관광호텔,굿모닝 호텔,"김영수, 한승현",영업중,등급평가중,,지하2층~지상7층 ,"1,163 ","6,234 ",75 ,울산 동구 바드래1길 15,"음식점, 헬스장 등"
172,울산,북구,관광호텔,머큐어 앰버서더 호텔 울산,주)랜드파트너스,영업중,4성,2019-09-26,지하4층~지상11층 ,"3,143 ","12,315 ",131 ,울산광역시 북구 강동산하2로 7,"레스토랑, 웨딩, 피트니스 클럽, 사우나, Benjarong SPA, 비즈 코너 등"
173,울산,울주군,관광호텔,(주)아마란스 호텔,김희영,영업중,1성,2020-05-11,지하1층~지상5층 ,"2,525 ","2,088 ",35 ,울산광역시 울주군 상북면 석남로 752-8,
174,울산,울주군,관광호텔,간절곶관광호텔,김효정 외 1 명,영업중,1성,2019-11-26,지하1층~지상6층 ,"1,809 ","2,464 ",30 ,울산광역시 울주군 서생면 간절곶해안길 37,
175,울산,울주군,가족호텔,블루오션뷰,유혜균,영업중,-,-,지상1층~6층 ,615 ,"1,927 ",35 ,울산광역시 울주군 서생면 진하해변길 74,
176,경상북도,포항시,관광호텔,코모도호텔 포항 송도,㈜코모도호텔포항송도,영업중,2성,18.06.21,4층,"4,106 ","2,767 ",46 ,포항시 남구 송도로 71(송도동),"커피숍, 연회장"
177,경상북도,포항시,관광호텔,베니키아 호텔 포항,에이티홀딩스주식회사,영업중,2성,19.03.18,7층(지하1~지상7),827 ,"3,832 ",80 ,포항시 남구 중앙로 128(해도동),"커피숍, 레스토랑"
178,경상북도,포항시,관광호텔,라한호텔 포항,㈜라한호텔4호,영업중,3성,19.06.05,16층(지하3~지상16),"3,641 ","25,065 ",160 ,포항시 북구 삼호로265번길 1(두호동),"레스토랑, 연회장, 야외가든정원"
179,경상북도,포항시,관광호텔,윈호텔,정기철,영업중,2성,19.10.22,9층(지하1~지상9),603 ,"2,410 ",53 ,포항시 북구 해안로 89(두호동),"일반음식점, 유흥음식점"
180,경상북도,포항시,관광호텔,뷰호텔,박찬욱,영업중,2성,20.11.10,10층,685 ,"3,278 ",42 ,포항시 북구 해안로 91(두호동),식당
181,경상북도,포항시,호스텔,동빈나루 게스트하우스,권승철,영업중,,,3층,78 ,99 ,2 ,포항시 북구 해동로 211-1(동빈2가),휴게실
182,경상북도,포항시,호스텔,영일대 게스트하우스,조영자,영업중,,,3층(지하1~지상3),186 ,607 ,11 ,포항시 북구 삼호로 73(대신동),휴게실
183,경상북도,포항시,소형호텔,라우스데오,곽휘,영업중,1성,20.07.10.,5층,654 ,"1,653 ",29 ,포항시 북구 장량로127번길 6(장성동),휴게실
184,경상북도,경주시,관광호텔,힐튼 경주,우양산업개발 주식회사 ,영업중,5성,19.06.14.,지하1~지상9,"61,990 ","43,297 ",324 ,경주시 보문로 484-7(신평동),"객실, 연회장, 레스토랑 & 바, 실내외 수영장
Health club, 스쿼시, 스포츠 용품점, 사우나 등"
185,경상북도,경주시,관광호텔,㈜라한호텔(경주),주식회사 라한호텔,영업중,5성,18.11.22.,지하2~지상12,"41,520 ","70,310 ",440 ,경주시 보문로 338(신평동),"객실, 식당가, 레포츠, 연회장 등"
186,경상북도,경주시,관광호텔,㈜코오롱엘에스아이 코오롱호텔,코오롱엘에스아이 주식회사,영업중,4성,18.04.13.,지하1~지상9,"122,479 ","29,496 ",317 ,경주시 불국로 289-17(마동),"골프장, 한식당, 커피숍, 양식당, 편의점, 사우나, 수영장 등"
187,경상북도,경주시,관광호텔,㈜코모도호텔 경주,주식회사 코모도호텔,영업중,4성,18.10.22.,지하2~지상9,"30,366 ","23,957 ",263 ,경주시 보문로 422(신평동),"식당(한식, 일식, 양식), 노래방(유흥주점), 편의점, 토산품점
마사지실, 라운지, 테니스장, 야외수영장 등"
188,경상북도,경주시,관광호텔,The-K경주호텔,더케이호텔앤리조트 주식회사,영업중,4성,18.10.02.,지하1~지상9,"69,460 ","49,062 ",304 ,경주시 엑스포로 45(신평동),"단체식당, 제과점, 로비라운지, 한식당, 야외가든, 뷔페식당, 연회장, 
야외공연장, 야외운동장, 실내외수영장, 남녀사우나, 노천탕, 헬스장 등"
189,경상북도,경주시,관광호텔,그랜드호텔 경주,주식회사 중원미디어,휴업중,등급없음,-,지하1~지상5,"16,366 ","16,986 ",104 ,경주시 불국로61(구정동),"사우나, 커피숍, 스낵코너, 레스토랑, 급식소 등"
190,경상북도,경주시,관광호텔,경주조선온천호텔,주식회사 대모정,휴업중,기간만료,-,지하1~지상5,"12,059 ","14,140 ",45 ,경주시 보문로 407(신평동),"웨딩홀, 사우나, 연회장, 휘트니스센터, 커피숍, 한식당 등"
191,경상북도,경주시,관광호텔,스위스로젠관광호텔,주식회사 금천,영업중,3성,20.11.28.,지하1~지상3,"2,681 ","3,839 ",60 ,경주시 보문로 465-37(신평동),"레스토랑, 세미나 및 연회장 2곳, 비즈니스센터, 바베큐장, 야외수영장 등"
192,경상북도,경주시,관광호텔,경주지지관광호텔,주식회사 지지옥션,영업중,3성,20.02.17.,지하1~지상5,"1,851 ","4,641 ",53 ,경주시 태종로 699번길3(노서동),"연회장, 중-소 회의실, 헬스장, 사우나, 커피숍 등"
193,경상북도,경주시,관광호텔,㈜교원 스위트호텔 경주,주식회사 교원,영업중,기간만료,신청중,지하2~지상3,"7,143 ","7,042 ",34 ,경주시 보문로 280-12(북군동),"라테라스,노래방,파크골프,세미나홀 등"
194,경상북도,경주시,관광호텔,아리수경주호텔,김석준,영업중,2성,18.12.26.,지하1~지상6,"1,606 ","5,550 ",80 ,경주시 영불로 207(진현동),"레스토랑, 커피숍(투썸플레이스)"
195,경상북도,경주시,관광호텔,케이호텔,곽희,영업중,1성,20.11.17.,지하1~지상3,"1,939 ","2,118 ",31 ,경주시 천북면 천강로 295-60,
196,경상북도,경주시,한국전통관광호텔,㈜신라밀레니엄 라궁,주식회사 신라밀레니엄,영업중,2성,18.08.01.,지상1,"19,344 ","1,961 ",16 ,경주시 엑스포로 55-12(신평동),일반음식점 
